2026-06-15 16:08:00 - [INFO] - Network Sniffer initialized.
2026-06-15 16:08:00 - [INFO] - Packet sniffing started.
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2409:40f4:3105:6c47:8cb7:b723:271b:4dac -> 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 | Len: 1292
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2409:40f4:3105:6c47:8cb7:b723:271b:4dac -> 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 | Len: 1292
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2409:40f4:3105:6c47:8cb7:b723:271b:4dac -> 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 | Len: 1292
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2409:40f4:3105:6c47:8cb7:b723:271b:4dac -> 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 | Len: 477
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 87
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 3870
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:06 - [INFO] - Captured TCP | 2409:40f4:3105:6c47:8cb7:b723:271b:4dac -> 2606:4700:83b1:d8b7:9ac6:aa1:ccf5:ac50 | Len: 177
2026-06-15 16:08:06 - [INFO] - Captured TCP | 2606:4700:83b1:d8b7:9ac6:aa1:ccf5:ac50 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 786
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:06 - [INFO] - Captured UDP | 2409:40f4:3105:6c47:8cb7:b723:271b:4dac -> 2606:4700:9c62:7cbc:c2c6:a9f:5ff2:75c4 | Len: 108
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 3870
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:06 - [INFO] - Captured TCP | 2606:4700:83b1:d8b7:9ac6:aa1:ccf5:ac50 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 171
2026-06-15 16:08:06 - [INFO] - Captured TCP | 2409:40f4:3105:6c47:8cb7:b723:271b:4dac -> 2606:4700:83b1:d8b7:9ac6:aa1:ccf5:ac50 | Len: 86
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:06 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:06 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:07 - [INFO] - Captured UDP | 10.231.195.127 -> 157.245.102.2 | Len: 90
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured UDP | 157.245.102.2 -> 10.231.195.127 | Len: 90
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:07 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:07 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 3870
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 86
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:08 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:08 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 86
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:09 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 3870
2026-06-15 16:08:09 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 2409:40f4:3105:6c47:8cb7:b723:271b:4dac -> 2001:4860:4802:34::223 | Len: 86
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 2001:4860:4802:34::223 -> 2409:40f4:3105:6c47:8cb7:b723:271b:4dac | Len: 86
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:10 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:10 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:11 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 66
2026-06-15 16:08:11 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 1334
2026-06-15 16:08:11 - [INFO] - Captured TCP | 10.231.195.127 -> 52.33.106.84 | Len: 66
2026-06-15 16:08:11 - [INFO] - Captured TCP | 103.147.151.222 -> 10.231.195.127 | Len: 2602
2026-06-15 16:08:11 - [INFO] - Captured TCP | 10.231.195.127 -> 103.147.151.222 | Len: 78
2026-06-15 16:08:11 - [INFO] - Captured TCP | 10.231.195.127 -> 172.64.155.209 | Len: 66
2026-06-15 16:08:11 - [INFO] - Captured TCP | 172.64.155.209 -> 10.231.195.127 | Len: 66
